"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,990,10,0
1,,977,23,0
2,,977,23,0
3,,977,23,0
4,,961,39,0
5,,923,77,0
6,,858,142,0
7,,772,228,0
8,,772,228,0
9,,772,228,0
10,,626,374,0
11,,626,374,0
12,,626,374,0
13,,626,374,0
14,,626,374,0
15,,447,553,0
16,,284,693,23
17,,135,842,23
18,,66,911,23
19,,32,929,39
20,,32,891,77
21,,55,826,119
22,,55,740,205
23,,55,740,205
24,,71,740,189
25,,109,594,297
26,,130,638,232
27,,165,689,146
28,,165,689,146
29,,165,689,146
30,,311,510,179
31,,190,468,342
32,,190,319,491
33,,148,292,560
34,,113,293,594
35,,292,293,415
36,,455,293,252
37,,604,293,103
38,,673,293,34
39,,707,293,0
40,,558,442,0
41,,385,571,44
42,,385,520,95
43,,385,520,95
44,,385,520,95
45,,243,662,95
46,,166,662,172
47,,129,750,121
48,,129,708,163
49,,129,673,198
50,,129,673,198
51,,250,673,77
52,,250,673,77
53,,157,808,35
54,,192,808,0
55,,84,767,149
56,,40,638,322
57,,22,656,322
58,,22,656,322
59,,22,656,322
60,,160,525,315
61,,333,404,263
62,,333,316,351
63,,333,316,351
64,,258,391,351
65,,400,391,209
66,,521,391,88
67,,435,565,0
68,,435,430,135
69,,282,583,135
70,,282,475,243
71,,202,511,287
72,,202,493,305
73,,267,563,170
74,,267,563,170
75,,375,552,73
76,,274,697,29
77,,165,824,11
78,,165,824,11
79,,165,749,86
80,,176,749,75
81,,176,749,75
82,,75,676,249
83,,75,676,249
84,,150,523,327
85,,150,523,327
86,,150,443,407
87,,324,443,233
88,,324,373,303
89,,477,373,150
90,,342,508,150
91,,422,363,215
92,,422,236,342
93,,414,314,272
94,,325,403,272
95,,325,403,272
96,,470,403,127
97,,597,302,101
98,,597,302,101
99,,442,457,101
100,,276,623,101
101,,276,623,101
102,,377,623,0
103,,377,623,0
104,,377,623,0
105,,206,659,135
106,,206,659,135
107,,107,758,135
108,,55,732,213
109,,24,674,302
110,,148,685,167
111,,148,685,167
112,,75,758,167
113,,153,758,89
114,,159,686,155
115,,159,520,321
116,,159,520,321
117,,159,520,321
118,,159,520,321
119,,251,583,166
120,,313,516,171
121,,313,516,171
122,,313,417,270
123,,212,466,322
124,,212,435,353
125,,316,491,193
126,,205,602,193
127,,304,529,167
128,,356,529,115
129,,236,597,167
130,,247,597,156
131,,137,707,156
132,,210,707,83
133,,210,707,83
134,,293,644,63
135,,293,540,167
136,,293,540,167
137,,293,540,167
138,,181,551,268
139,,191,604,205
140,,295,537,168
141,,178,543,279
142,,178,543,279
143,,198,624,178
144,,102,569,329
145,,169,569,262
146,,280,459,261
147,,189,550,261
148,,189,550,261
149,,340,550,110
150,,213,677,110
151,,323,677,0
152,,182,818,0
153,,182,706,112
154,,97,738,165
155,,43,792,165
156,,43,675,282
157,,43,675,282
158,,155,594,251
159,,138,568,294
160,,138,568,294
161,,255,568,177
162,,157,575,268
163,,238,575,187
164,,334,575,91
165,,334,448,218
166,,228,554,218
167,,319,413,268
168,,319,413,268
169,,319,328,353
170,,446,274,280
171,,446,274,280
172,,587,274,139
173,,587,274,139
174,,549,327,124
175,,469,461,70
176,,469,461,70
177,,469,363,168
178,,345,487,168
179,,415,487,98
180,,415,487,98
181,,415,381,204
182,,380,514,106
183,,235,659,106
184,,138,756,106
185,,64,830,106
186,,170,830,0
187,,170,830,0
188,,73,927,0
189,,73,804,123
190,,73,670,257
191,,73,670,257
192,,73,670,257
193,,73,546,381
194,,196,546,258
195,,253,623,124
196,,253,623,124
197,,253,490,257
198,,377,345,278
199,,270,355,375
200,,202,349,449
201,,202,349,449
202,,335,349,316
203,,480,252,268
204,,577,252,171
205,,651,252,97
206,,522,381,97
207,,372,531,97
208,,469,531,0
209,,469,531,0
210,,288,635,77
211,,176,747,77
212,,92,831,77
213,,54,869,77
214,,54,762,184
215,,131,694,175
216,,131,694,175
217,,131,694,175
218,,131,694,175
219,,238,694,68
220,,204,796,0
221,,204,667,129
222,,122,599,279
223,,76,645,279
224,,76,645,279
225,,39,501,460
226,,168,389,443
227,,318,305,377
228,,318,267,415
229,,259,326,415
230,,440,326,234
231,,552,326,122
232,,636,326,38
233,,493,507,0
234,,493,507,0
235,,308,590,102
236,,308,590,102
237,,182,634,184
238,,101,669,230
239,,101,669,230
240,,203,632,165
241,,203,632,165
242,,285,632,83
243,,331,632,37
244,,189,715,96
245,,134,807,59
246,,64,877,59
247,,64,877,59
248,,64,696,240
249,,123,696,181
250,,123,511,366
251,,123,511,366
252,,72,436,492
253,,253,355,392
254,,253,355,392
255,,438,355,207
256,,438,355,207
257,,564,355,81
258,,645,355,0
259,,478,380,142
260,,340,426,234
261,,232,464,304
262,,156,540,304
263,,156,540,304
264,,298,540,162
265,,390,540,70
266,,460,540,0
267,,460,489,51
268,,291,658,51
269,,291,658,51
270,,291,658,51
271,,291,658,51
272,,342,658,0
273,,203,797,0
274,,203,630,167
275,,203,492,305
276,,203,384,413
277,,203,308,489
278,,203,308,489
279,,370,308,322
280,,508,308,184
281,,481,443,76
282,,557,443,0
283,,557,274,169
284,,557,274,169
285,,432,399,169
286,,305,526,169
287,,305,526,169
288,,474,387,139
289,,474,387,139
290,,474,387,139
291,,346,515,139
292,,213,648,139
293,,352,648,0
294,,352,648,0
295,,352,648,0
296,,352,513,135
297,,352,513,135
298,,352,513,135
299,,225,640,135
300,,225,515,260
301,,277,471,252
302,,277,471,252
303,,277,471,252
304,,277,471,252
305,,402,471,127
306,,529,343,128
307,,396,343,261
308,,285,454,261
309,,191,548,261
310,,112,627,261
311,,240,627,133
312,,251,749,0
313,,128,872,0
314,,64,809,127
315,,31,842,127
316,,31,759,210
317,,31,759,210
318,,13,777,210
319,,133,784,83
320,,65,852,83
321,,109,891,0
322,,50,817,133
323,,50,706,244
324,,50,612,338
325,,50,533,417
326,,33,550,417
327,,166,428,406
328,,277,305,418
329,,288,324,388
330,,367,291,342
331,,367,291,342
332,,489,291,220
333,,494,391,115
334,,411,531,58
335,,444,463,93
336,,444,424,132
337,,444,365,191
338,,462,365,173
339,,469,365,166
340,,537,365,98
341,,576,348,76
342,,482,501,17
343,,482,501,17
344,,482,418,100
345,,337,563,100
346,,354,563,83
347,,219,698,83
348,,219,580,201
349,,209,526,265
350,,127,608,265
351,,127,608,265
352,,127,608,265
353,,245,608,147
354,,297,703,0
355,,297,703,0
356,,148,852,0
357,,69,778,153
358,,36,811,153
359,,36,811,153
360,,36,666,298
361,,36,666,298
362,,189,531,280
363,,189,531,280
364,,116,511,373
365,,213,477,310
366,,130,560,310
367,,213,612,175
368,,213,612,175
369,,217,606,177
370,,299,606,95
371,,172,584,244
372,,172,505,323
373,,115,529,356
374,,210,529,261
375,,139,600,261
376,,234,654,112
377,,214,753,33
378,,247,753,0
379,,247,680,73
380,,247,632,121
381,,247,549,204
382,,247,497,256
383,,247,497,256
384,,320,408,272
385,,368,408,224
386,,451,281,268
387,,503,281,216
388,,503,224,273
389,,592,224,184
390,,592,153,255
391,,655,163,182
392,,560,159,281
393,,617,159,224
394,,617,159,224
395,,688,159,153
396,,742,159,99
397,,841,159,0
398,,727,273,0
399,,562,438,0
400,,562,438,0
401,,562,438,0
402,,562,438,0
403,,562,438,0
404,,562,438,0
405,,562,438,0
406,,562,374,64
407,,562,279,159
408,,562,279,159
409,,562,279,159
410,,427,414,159
411,,339,566,95
