"time","placeholder","Susceptible","Infected-infectious","Recovered"
0,,490,10,0
1,,490,10,0
2,,490,10,0
3,,486,14,0
4,,486,14,0
5,,481,19,0
6,,481,19,0
7,,475,25,0
8,,467,33,0
9,,447,53,0
10,,447,53,0
11,,447,43,10
12,,447,43,10
13,,447,39,14
14,,447,39,14
15,,447,34,19
16,,447,34,19
17,,428,47,25
18,,438,39,23
19,,430,27,43
20,,419,42,39
21,,419,42,39
22,,404,62,34
23,,404,62,34
24,,390,82,28
25,,398,82,20
26,,388,112,0
27,,358,123,19
28,,358,123,19
29,,358,115,27
30,,358,100,42
31,,331,127,42
32,,331,107,62
33,,331,107,62
34,,350,87,63
35,,330,107,63
36,,308,107,85
37,,287,113,100
38,,287,113,100
39,,307,113,80
40,,307,113,80
41,,285,128,87
42,,285,128,87
43,,315,128,57
44,,345,128,27
45,,345,108,47
46,,312,111,77
47,,312,75,113
48,,315,99,86
49,,295,119,86
50,,295,119,86
51,,295,77,128
52,,289,103,108
53,,319,103,78
54,,331,127,42
55,,293,165,42
56,,293,132,75
57,,259,166,75
58,,301,142,57
59,,275,148,77
60,,275,148,77
61,,275,148,77
62,,243,154,103
63,,247,183,70
64,,247,159,94
65,,271,121,108
66,,291,121,88
67,,254,124,122
68,,254,124,122
69,,263,115,122
70,,263,115,122
71,,287,115,98
72,,325,83,92
73,,325,54,121
74,,359,54,87
75,,359,54,87
76,,369,70,61
77,,369,33,98
78,,359,43,98
79,,391,26,83
80,,420,26,54
81,,420,26,54
82,,412,34,54
83,,412,34,54
84,,449,34,17
85,,449,34,17
86,,466,18,16
87,,460,24,16
88,,449,25,26
89,,449,25,26
90,,449,25,26
91,,436,38,26
92,,425,41,34
93,,424,58,18
94,,403,79,18
95,,392,100,8
96,,392,100,8
97,,348,138,14
98,,319,156,25
99,,327,156,17
100,,327,156,17
101,,327,143,30
102,,327,132,41
103,,327,115,58
104,,305,122,73
105,,316,101,83
106,,316,101,83
107,,289,84,127
108,,302,55,143
109,,313,55,132
110,,330,55,115
111,,333,73,94
112,,332,95,73
113,,332,95,73
114,,343,100,57
115,,345,127,28
116,,345,127,28
117,,345,100,55
118,,307,138,55
119,,271,174,55
120,,225,220,55
121,,253,202,45
122,,253,180,67
123,,253,180,67
124,,239,188,73
125,,239,161,100
126,,239,161,100
127,,204,196,100
128,,222,158,120
129,,244,122,134
130,,244,76,180
131,,263,90,147
132,,290,90,120
133,,262,118,120
134,,262,77,161
135,,300,77,123
136,,318,95,87
137,,333,91,76
138,,333,91,76
139,,299,125,76
140,,299,125,76
141,,310,141,49
142,,272,179,49
143,,232,191,77
144,,267,191,42
145,,226,232,42
146,,226,214,60
147,,174,235,91
148,,160,263,77
149,,160,229,111
150,,162,255,83
151,,162,225,113
152,,162,187,151
153,,158,169,173
154,,189,169,142
155,,161,156,183
156,,172,179,149
157,,172,127,201
158,,179,122,199
159,,206,133,161
160,,227,126,147
161,,215,138,147
162,,256,138,106
163,,229,143,128
164,,254,170,76
165,,248,176,76
166,,210,191,99
167,,236,191,73
168,,200,204,96
169,,200,193,107
170,,191,205,104
171,,167,217,116
172,,195,217,88
173,,185,223,92
174,,153,228,119
175,,176,194,130
176,,160,183,157
177,,179,183,138
178,,191,147,162
179,,163,175,162
180,,190,144,166
181,,191,146,163
182,,205,166,129
183,,243,133,124
184,,219,125,156
185,,255,125,120
186,,255,98,147
187,,259,125,116
188,,283,125,92
189,,283,97,120
190,,296,117,87
191,,302,117,81
192,,302,97,101
193,,329,97,74
194,,303,99,98
195,,286,116,98
196,,285,145,70
197,,285,118,97
198,,278,151,71
199,,298,151,51
200,,298,131,71
201,,322,105,73
202,,299,128,73
203,,299,128,73
204,,295,133,72
205,,295,116,89
206,,258,124,118
207,,278,124,98
208,,304,91,105
209,,304,91,105
210,,277,118,105
211,,281,140,79
212,,298,117,85
213,,327,117,56
214,,327,86,87
215,,331,115,54
216,,331,78,91
217,,297,112,91
218,,274,135,91
219,,297,135,68
220,,258,147,95
221,,256,158,86
222,,212,202,86
223,,249,202,49
224,,249,202,49
225,,216,206,78
226,,216,206,78
227,,243,172,85
228,,224,190,86
229,,224,190,86
230,,224,151,125
231,,205,137,158
232,,234,93,173
233,,221,106,173
234,,233,128,139
235,,256,95,149
236,,256,95,149
237,,295,95,110
238,,328,54,118
239,,355,71,74
240,,336,90,74
241,,314,93,93
242,,347,93,60
243,,318,109,73
244,,287,118,95
245,,328,118,54
246,,328,118,54
247,,328,118,54
248,,347,118,35
249,,312,136,52
250,,286,156,58
251,,270,172,58
252,,270,172,58
253,,270,143,87
254,,270,112,118
255,,247,135,118
256,,264,135,101
257,,283,135,82
258,,264,176,60
259,,228,177,95
260,,229,166,105
261,,230,158,112
262,,230,158,112
263,,230,158,112
264,,209,179,112
265,,209,156,135
266,,244,156,100
267,,241,198,61
268,,229,207,64
269,,229,171,100
270,,229,143,128
271,,199,143,158
272,,203,162,135
273,,178,187,135
274,,178,166,156
275,,195,190,115
276,,206,215,79
277,,234,173,93
278,,234,153,113
279,,192,195,113
280,,192,195,113
281,,213,165,122
282,,213,146,141
283,,213,121,166
284,,255,121,124
285,,305,97,98
286,,273,104,123
287,,244,133,123
288,,274,103,123
289,,293,61,146
290,,298,81,121
291,,298,81,121
292,,297,106,97
293,,322,106,72
294,,304,124,72
295,,307,151,42
296,,309,159,32
297,,258,181,61
298,,258,181,61
299,,218,221,61
300,,218,201,81
301,,185,234,81
302,,185,209,106
303,,217,209,74
304,,246,191,63
305,,204,206,90
306,,204,166,130
307,,200,139,161
308,,176,163,161
309,,201,123,176
310,,201,123,176
311,,219,90,191
312,,246,90,164
313,,265,111,124
314,,316,111,73
315,,316,69,115
316,,341,84,75
317,,318,83,99
318,,351,59,90
319,,351,59,90
320,,328,82,90
321,,303,107,90
322,,322,130,48
323,,288,143,69
324,,285,170,45
325,,278,201,21
326,,278,186,36
327,,233,208,59
328,,233,208,59
329,,198,243,59
330,,219,220,61
331,,185,229,86
332,,185,206,109
333,,200,172,128
334,,223,145,132
335,,223,114,163
336,,206,131,163
337,,229,86,185
338,,243,97,160
339,,248,80,172
340,,282,80,138
341,,309,46,145
342,,340,46,114
343,,340,46,114
344,,385,46,69
345,,368,63,69
346,,381,68,51
347,,358,91,51
348,,392,80,28
349,,366,88,46
350,,333,121,46
351,,299,155,46
352,,299,155,46
353,,316,155,29
354,,276,195,29
355,,287,178,35
356,,305,156,39
357,,258,180,62
358,,258,180,62
359,,225,187,88
360,,225,154,121
361,,225,120,155
362,,216,146,138
363,,238,146,116
364,,222,145,133
365,,222,145,133
366,,223,170,107
367,,256,123,121
368,,290,123,87
369,,249,131,120
370,,219,161,120
371,,259,161,80
372,,227,167,106
373,,227,167,106
374,,274,128,98
375,,274,128,98
376,,307,103,90
377,,307,103,90
378,,272,138,90
379,,298,97,105
380,,298,67,135
381,,337,67,96
382,,314,58,128
383,,339,58,103
384,,339,58,103
385,,316,81,103
386,,357,81,62
387,,387,81,32
388,,360,73,67
389,,367,98,35
390,,367,98,35
391,,340,125,35
392,,340,102,58
393,,340,102,58
394,,315,127,58
395,,350,104,46
396,,350,104,46
397,,320,134,46
398,,320,107,73
399,,343,82,75
400,,343,82,75
401,,320,78,102
402,,316,105,79
403,,316,105,79
404,,284,112,104
405,,283,140,77
406,,270,178,52
407,,215,203,82
408,,242,203,55
409,,242,203,55
410,,242,203,55
411,,233,214,53
412,,191,229,80
413,,153,267,80
414,,183,235,82
415,,153,237,110
416,,118,234,148
417,,93,204,203
418,,103,217,180
419,,112,235,153
420,,90,257,153
421,,122,223,155
422,,126,205,169
423,,164,167,169
424,,198,188,114
425,,165,191,144
426,,165,156,179
427,,145,151,204
428,,167,150,183
